model,financial_performance,time_performance,iterations,username,dataset
JHReactiveStdDev,6649.044029,13.83210583,100,jhautala,SPY
JHReactiveStdDev,15988.612526,13.10926417,100,jhautala,NDAQ
JHReactiveStdDev,6649.044029000004,16.61978509000619,100,greg,SPY
JHReactiveStdDev,15988.612525999995,16.77067127002374,100,greg,NDAQ
RefOmniscientMinMax,11275.880176,5.81136583,100,jhautala,SPY
RefLongHaul,5114.419848,5.773027920000001,100,jhautala,SPY
RefRandomProp,544.5425750000359,25.437827500000004,100,jhautala,SPY
COLowAndSlow,1460.6050070000074,9.135919579999996,100,jhautala,SPY
GHBuyTheDip,2550.0900720000272,7.805722910000004,100,jhautala,SPY
JHMinMax,10269.670960000003,21.248837499999983,100,jhautala,SPY
JHReactiveStdDev_tuned,10394.654749999983,13.713145420000004,100,jhautala,SPY
MMbuytrendneg,1285.077996000031,6.168753750000029,100,jhautala,SPY
RefOmniscientMinMaxNdaq,19349.880822,5.72271833,100,jhautala,NDAQ
RefLongHaul,15545.789225999995,5.890959999999996,100,jhautala,NDAQ
RefRandomProp,4367.012300000029,25.2616525,100,jhautala,NDAQ
COLowAndSlow,7429.42194700001,9.094279170000004,100,jhautala,NDAQ
GHBuyTheDip,1115.9166259999683,7.530374579999997,100,jhautala,NDAQ
JHMinMax,8706.769825000003,20.443715829999984,100,jhautala,NDAQ
JHReactiveStdDev_tuned,24365.224867,13.64382334,100,jhautala,NDAQ
MMbuytrendneg,-162.26818700004878,6.130089159999983,100,jhautala,NDAQ
RefOmniscientMinMax,11275.880176,6.966366440028651,100,greg,SPY
RefLongHaul,5114.419848,6.837743540017982,100,greg,SPY
RefRandomProp,544.5425750000359,41.797896009993565,100,greg,SPY
COLowAndSlow,1460.6050070000074,10.8293450400015,100,greg,SPY
GHBuyTheDip,2550.0900720000272,9.47616918998392,100,greg,SPY
JHMinMax,10269.670960000003,22.122482449995005,100,greg,SPY
JHReactiveStdDev_tuned,10394.654749999983,15.951686190019243,100,greg,SPY
MMbuytrendneg,1285.077996000031,7.07170428999234,100,greg,SPY
RefOmniscientMinMaxNdaq,19349.880822,6.561088829985238,100,greg,NDAQ
RefLongHaul,15545.789225999995,6.577027429993905,100,greg,NDAQ
RefRandomProp,4367.012300000029,40.34358261997113,100,greg,NDAQ
COLowAndSlow,7429.42194700001,11.341995229995518,100,greg,NDAQ
GHBuyTheDip,1115.9166259999683,9.765524670001469,100,greg,NDAQ
JHMinMax,8706.769825000003,22.08242648997839,100,greg,NDAQ
JHReactiveStdDev_tuned,24365.224867,16.134711199993035,100,greg,NDAQ
MMbuytrendneg,-162.26818700004878,7.429459359991597,100,greg,NDAQ
RefOmniscientMinMax,11275.880176,7.6930918600010045,100,maxwellmacavoy,SPY
RefLongHaul,5114.419848,7.681060400009301,100,maxwellmacavoy,SPY
RefRandomProp,544.5425750000359,48.61708937000003,100,maxwellmacavoy,SPY
COLowAndSlow,1460.6050070000074,14.157011049992434,100,maxwellmacavoy,SPY
GHBuyTheDip,2550.0900720000272,12.000491649996547,100,maxwellmacavoy,SPY
JHMinMax,10269.670960000003,26.435353150009178,100,maxwellmacavoy,SPY
JHReactiveStdDev_tuned,10394.654749999983,17.627813150011207,100,maxwellmacavoy,SPY
MMbuytrendneg,1285.077996000031,7.784817270003259,100,maxwellmacavoy,SPY
RefOmniscientMinMaxNdaq,19349.880822,7.469325259990001,100,maxwellmacavoy,NDAQ
RefLongHaul,15545.789225999995,7.467258799988485,100,maxwellmacavoy,NDAQ
RefRandomProp,4367.012300000029,43.64248109999608,100,maxwellmacavoy,NDAQ
COLowAndSlow,7429.42194700001,12.632500279996748,100,maxwellmacavoy,NDAQ
GHBuyTheDip,1115.9166259999683,11.032975180005453,100,maxwellmacavoy,NDAQ
JHMinMax,8706.769825000003,23.710438790003536,100,maxwellmacavoy,NDAQ
JHReactiveStdDev_tuned,24365.224867,18.78825723000773,100,maxwellmacavoy,NDAQ
MMbuytrendneg,-162.26818700004878,7.839389000000665,100,maxwellmacavoy,NDAQ
RefOmniscientMinMax,11275.880175999999,9.029967999999995,100,Collins,SPY
RefLongHaul,5114.419848,9.176081999999992,100,Collins,SPY
RefRandomProp,544.5425750000359,40.799181999999995,100,Collins,SPY
COLowAndSlow,1460.6050070000074,12.912768999999999,100,Collins,SPY
GHBuyTheDip,2550.0900720000272,11.130401999999986,100,Collins,SPY
JHMinMax,10269.670960000003,23.95575600000001,100,Collins,SPY
JHReactiveStdDev_tuned,10394.654749999983,20.158913,100,Collins,SPY
MMbuytrendneg,1285.077996000031,8.473320000000015,100,Collins,SPY
